epoch, loss_tr,loss_te, acc_tr, acc_te 
0, 4367.095707491325, 857.6434223264965, 0.88952, 0.8926
1, 3667.5237773690155, 759.0006981107352, 0.90786, 0.9026
2, 3429.142015681723, 731.3113802602909, 0.91556, 0.9078
3, 3271.2337846685527, 698.495227201785, 0.91912, 0.912
4, 3078.651701650254, 688.3635509703957, 0.92308, 0.9141
5, 3087.851622184294, 681.6345753429594, 0.92416, 0.9148
6, 2908.8910207494746, 659.4119937582341, 0.92886, 0.9171
7, 2759.539536022371, 612.3204087666309, 0.9327, 0.9257
8, 2750.4417935849915, 624.5446414508327, 0.93206, 0.9233
9, 2644.7759953484333, 617.4487679547955, 0.93572, 0.9232
10, 2637.3402024238735, 595.8308530006557, 0.9351, 0.9268
11, 3334.2403194055005, 714.8899680027229, 0.92022, 0.9133
12, 2685.9134056406365, 618.1820361892879, 0.93594, 0.9244
13, 2673.560399826664, 611.1673278000591, 0.93394, 0.9233
14, 2468.10877158752, 576.528810442388, 0.9397, 0.9283
15, 2442.557690304926, 571.3648668789092, 0.94032, 0.9304
16, 2386.759252260494, 568.4709658016866, 0.94154, 0.9301
17, 2523.5682859315457, 604.9173433276624, 0.93764, 0.9248
18, 2310.195491909989, 565.8723281573818, 0.9432, 0.93
19, 2561.4747071051215, 621.7833332372411, 0.93778, 0.924
20, 2552.852336774396, 582.2302368694765, 0.93592, 0.929
21, 2317.252798534119, 559.6474749713867, 0.9434, 0.9305
22, 2360.7493182724584, 570.7365633809875, 0.94176, 0.9305
23, 2312.8715731255634, 568.0965532358659, 0.9433, 0.9311
24, 2317.266144383771, 570.2703661177902, 0.94248, 0.9295
25, 2250.029930073355, 556.294399886202, 0.94434, 0.933
26, 2381.175944260406, 579.1728953910255, 0.94216, 0.9296
27, 2284.767817492696, 570.7769169119744, 0.94562, 0.9307
28, 2134.9799790619577, 552.9913440198743, 0.94792, 0.9305
29, 2409.641882910525, 586.0660046879259, 0.94082, 0.9279
30, 2482.269608697476, 603.7877032555908, 0.9383, 0.9253
31, 2390.784681275488, 591.9437454356, 0.94168, 0.9273
32, 2186.14937805249, 571.9297850609134, 0.94748, 0.9315
33, 2080.7661497484087, 553.9866152743031, 0.94876, 0.9322
34, 2206.3619041673005, 577.2750873221548, 0.94656, 0.9298
35, 2160.9059757604805, 577.3605788799129, 0.94766, 0.9315
36, 2147.3070258412454, 559.8053966466688, 0.94832, 0.9333
37, 2181.6894676163247, 564.8928948528784, 0.94732, 0.9314
38, 2140.406067023975, 563.0484910106851, 0.94736, 0.9296
39, 2030.1060714457237, 544.9113437907753, 0.95026, 0.9334
40, 2010.5148922019398, 546.9796923623727, 0.95084, 0.9311
41, 2105.7312215117563, 560.9383336041566, 0.9472, 0.9309
42, 2100.892548216598, 569.5598869259992, 0.9491, 0.9312
43, 2103.7454266161017, 567.416126908208, 0.9477, 0.9299
44, 2051.304772800391, 562.7356118611123, 0.94968, 0.9309
45, 1990.8662514259286, 555.9744927074739, 0.95094, 0.9319
46, 2014.6604758223111, 547.4200456903942, 0.95036, 0.9331
47, 1977.2929156049183, 558.0727198047744, 0.95126, 0.9314
48, 2080.9466152889268, 555.3873458706842, 0.9487, 0.9327
49, 1977.102424846815, 559.1890318768637, 0.95208, 0.9314
